"","Fishery_harvest","Cons_Abundance","Cons_Density","Pink_Abundance","Pink_Density","WMA_Releases_by_Yr","Dist_nearest_H","Dist_nearest_R","mean_flow","CV_flow"
"Fishery_harvest",1,-0.0528975625912302,-0.0426092047202356,-0.0696298683887081,-0.0833037807692811,0.154384887155417,0.0457403763506001,-0.0745821822504997,-0.0991655881825034,0.248173771229518
"Cons_Abundance",-0.0528975625912302,1,0.889271694018354,0.460693142724557,0.32636943074941,-0.260771807736856,0.1749684704681,0.346773696885211,0.324576518277586,-0.404956923550038
"Cons_Density",-0.0426092047202356,0.889271694018354,1,0.327619024125114,0.379540205384013,-0.0933787850971829,0.0717134104952765,0.1915857217193,0.134600692581516,-0.360161653583528
"Pink_Abundance",-0.0696298683887081,0.460693142724557,0.327619024125114,1,0.884968249389671,-0.290559754341199,0.000131552184882748,0.280221328983168,0.345754999381736,-0.458470370282129
"Pink_Density",-0.0833037807692811,0.32636943074941,0.379540205384013,0.884968249389671,1,-0.105713652414678,-0.114584543673123,0.132443183874202,0.15579249199438,-0.412000451246307
"WMA_Releases_by_Yr",0.154384887155417,-0.260771807736856,-0.0933787850971829,-0.290559754341199,-0.105713652414678,1,-0.553772304126279,-0.806974219197955,-0.456139455891216,0.17958125868294
"Dist_nearest_H",0.0457403763506001,0.1749684704681,0.0717134104952765,0.000131552184882748,-0.114584543673123,-0.553772304126279,1,0.685045710387728,0.322186158383643,0.236224278334572
"Dist_nearest_R",-0.0745821822504997,0.346773696885211,0.1915857217193,0.280221328983168,0.132443183874202,-0.806974219197955,0.685045710387728,1,0.515244699436825,-0.215489927278385
"mean_flow",-0.0991655881825034,0.324576518277586,0.134600692581516,0.345754999381736,0.15579249199438,-0.456139455891216,0.322186158383643,0.515244699436825,1,-0.271583926284655
"CV_flow",0.248173771229518,-0.404956923550038,-0.360161653583528,-0.458470370282129,-0.412000451246307,0.17958125868294,0.236224278334572,-0.215489927278385,-0.271583926284655,1
